motif	human TFs	mouse TFs
CTCF_f2	CTCF_HUMAN	CTCF_MOUSE
CUX1_f1	CUX1_HUMAN	CUX1_MOUSE
CXXC1_si	CXXC1_HUMAN	CXXC1_MOUSE
DBP_si	DBP_HUMAN	DBP_MOUSE
DDIT3_f1	DDIT3_HUMAN	DDIT3_MOUSE
DLX2_f1	DLX2_HUMAN	DLX2_MOUSE
DLX3_do	DLX3_HUMAN	DLX3_MOUSE
E2F1_f2	E2F1_HUMAN	E2F1_MOUSE
E2F2_f1	E2F2_HUMAN	E2F2_MOUSE
E2F3_si	E2F3_HUMAN	E2F3_MOUSE
E2F4_do	E2F4_HUMAN	E2F4_MOUSE
E2F5_do	E2F5_HUMAN	E2F5_MOUSE
E2F6_f1	E2F6_HUMAN	E2F6_MOUSE
E2F7_f1	E2F7_HUMAN	E2F7_MOUSE
E4F1_f1	E4F1_HUMAN	E4F1_MOUSE
EGR1_f2	EGR1_HUMAN	EGR1_MOUSE
EGR2_si	EGR2_HUMAN	EGR2_MOUSE
EGR3_f1	EGR3_HUMAN	EGR3_MOUSE
EGR4_f1	EGR4_HUMAN	EGR4_MOUSE
EHF_si	EHF_HUMAN	EHF_MOUSE
ELF1_f1	ELF1_HUMAN	ELF1_MOUSE
ELF2_f1	ELF2_HUMAN	ELF2_MOUSE
ELF3_f1	ELF3_HUMAN	ELF3_MOUSE
ELF5_f1	ELF5_HUMAN	ELF5_MOUSE
ELK1_f1	ELK1_HUMAN	ELK1_MOUSE
ELK3_f1	ELK3_HUMAN	ELK3_MOUSE
ELK4_f1	ELK4_HUMAN	ELK4_MOUSE
ENOA_si	ENOA_HUMAN	ENOA_MOUSE
EOMES_f1	EOMES_HUMAN	EOMES_MOUSE
EPAS1_si	EPAS1_HUMAN	EPAS1_MOUSE
ERG_f1	ERG_HUMAN	ERG_MOUSE
ERR1_f1	ERR1_HUMAN	ERR1_MOUSE
ERR2_f1	ERR2_HUMAN	ERR2_MOUSE
ERR3_f1	ERR3_HUMAN	ERR3_MOUSE
ESR1_do	ESR1_HUMAN	ESR1_MOUSE
ESR2_do	ESR2_HUMAN	ESR2_MOUSE
ESR2_si	ESR2_HUMAN	ESR2_MOUSE
ETS1_si	ETS1_HUMAN	ETS1_MOUSE
ETS2_f1	ETS2_HUMAN	ETS2_MOUSE
ETV4_f1	ETV4_HUMAN	ETV4_MOUSE
ETV5_f1	ETV5_HUMAN	ETV5_MOUSE
ETV7_si	ETV7_HUMAN	
EVI1_f1	EVI1_HUMAN	EVI1_MOUSE
FEV_f1	FEV_HUMAN	FEV_MOUSE
FLI1_f1	FLI1_HUMAN	FLI1_MOUSE
FOSB_f1	FOSB_HUMAN	FOSB_MOUSE
FOSL1_f2	FOSL1_HUMAN	FOSL1_MOUSE
FOSL2_f1	FOSL2_HUMAN	FOSL2_MOUSE
FOS_si	FOS_HUMAN	FOS_MOUSE
FOXA1_f1	FOXA1_HUMAN	FOXA1_MOUSE
FOXA2_f1	FOXA2_HUMAN	FOXA2_MOUSE
FOXA3_f1	FOXA3_HUMAN	FOXA3_MOUSE
FOXC1_f1	FOXC1_HUMAN	FOXC1_MOUSE
FOXC2_f1	FOXC2_HUMAN	FOXC2_MOUSE
FOXD1_si	FOXD1_HUMAN	FOXD1_MOUSE
FOXD3_f1	FOXD3_HUMAN	FOXD3_MOUSE
FOXF1_f1	FOXF1_HUMAN	FOXF1_MOUSE
FOXF2_f1	FOXF2_HUMAN	FOXF2_MOUSE
FOXI1_f1	FOXI1_HUMAN	FOXI1_MOUSE
FOXJ2_f1	FOXJ2_HUMAN	FOXJ2_MOUSE
FOXJ3_f2	FOXJ3_HUMAN	FOXJ3_MOUSE
FOXJ3_si	FOXJ3_HUMAN	FOXJ3_MOUSE
FOXM1_f1	FOXM1_HUMAN	FOXM1_MOUSE
FOXO1_si	FOXO1_HUMAN	FOXO1_MOUSE
FOXO3_si	FOXO3_HUMAN	FOXO3_MOUSE
FOXO4_f1	FOXO4_HUMAN	FOXO4_MOUSE
FOXP2_si	FOXP2_HUMAN	FOXP2_MOUSE
FOXP3_f1	FOXP3_HUMAN	FOXP3_MOUSE
FOXQ1_f1	FOXQ1_HUMAN	FOXQ1_MOUSE
FUBP1_f1	FUBP1_HUMAN	FUBP1_MOUSE
GABP1+GABP2_f1	GABP1_HUMAN,GABP2_HUMAN	GABP1_MOUSE,GABP2_MOUSE
GABPA_f1	GABPA_HUMAN	GABPA_MOUSE
GATA1_si	GATA1_HUMAN	GATA1_MOUSE
GATA2_si	GATA2_HUMAN	GATA2_MOUSE
GATA3_si	GATA3_HUMAN	GATA3_MOUSE
GATA4_f1	GATA4_HUMAN	GATA4_MOUSE
GATA5_f1	GATA5_HUMAN	GATA5_MOUSE
GATA6_f2	GATA6_HUMAN	GATA6_MOUSE
GCM1_f1	GCM1_HUMAN	GCM1_MOUSE
GCR_do	GCR_HUMAN	GCR_MOUSE
GCR_si	GCR_HUMAN	GCR_MOUSE
GFI1B_f1	GFI1B_HUMAN	GFI1B_MOUSE
GFI1_f1	GFI1_HUMAN	GFI1_MOUSE
GLI1_f1	GLI1_HUMAN	GLI1_MOUSE
GLI2_f1	GLI2_HUMAN	GLI2_MOUSE
GLI3_si	GLI3_HUMAN	GLI3_MOUSE
GLIS3_f1	GLIS3_HUMAN	GLIS3_MOUSE
HAND1_si	HAND1_HUMAN	HAND1_MOUSE
HBP1_f1	HBP1_HUMAN	HBP1_MOUSE
HEN1_si	HEN1_HUMAN	HEN1_MOUSE
HES1_f1	HES1_HUMAN	HES1_MOUSE
HESX1_f1	HESX1_HUMAN	HESX1_MOUSE
HEY2_f1	HEY2_HUMAN	HEY2_MOUSE
HIC1_si	HIC1_HUMAN	HIC1_MOUSE
HIF1A_si	HIF1A_HUMAN	HIF1A_MOUSE
HINFP_f1	HINFP_HUMAN	HINFP_MOUSE
HLF_si	HLF_HUMAN	HLF_MOUSE
HLTF_f1	HLTF_HUMAN	HLTF_MOUSE
HMGA1_f1	HMGA1_HUMAN	HMGA1_MOUSE
HMGA2_f1	HMGA2_HUMAN	HMGA2_MOUSE
HNF1A_f1	HNF1A_HUMAN	HNF1A_MOUSE
HNF1B_f1	HNF1B_HUMAN	HNF1B_MOUSE
HNF4A_f1	HNF4A_HUMAN	HNF4A_MOUSE
HNF4G_f1	HNF4G_HUMAN	HNF4G_MOUSE
HNF6_f1	HNF6_HUMAN	HNF6_MOUSE
HSF1_f2	HSF1_HUMAN	HSF1_MOUSE
HSF2_si	HSF2_HUMAN	HSF2_MOUSE
HTF4_f1	HTF4_HUMAN	HTF4_MOUSE
HXA10_f1	HXA10_HUMAN	HXA10_MOUSE
HXA13_f1	HXA13_HUMAN	HXA13_MOUSE
HXA1_f1	HXA1_HUMAN	HXA1_MOUSE
HXA5_si	HXA5_HUMAN	HXA5_MOUSE
HXA7_f1	HXA7_HUMAN	HXA7_MOUSE
HXA9_f1	HXA9_HUMAN	HXA9_MOUSE
HXB1_f1	HXB1_HUMAN	HXB1_MOUSE
HXB6_f1	HXB6_HUMAN	HXB6_MOUSE
HXB7_si	HXB7_HUMAN	HXB7_MOUSE
HXB8_do	HXB8_HUMAN	HXB8_MOUSE
HXC6_f1	HXC6_HUMAN	HXC6_MOUSE
HXC8_f1	HXC8_HUMAN	HXC8_MOUSE
HXD10_f1	HXD10_HUMAN	HXD10_MOUSE
HXD13_f1	HXD13_HUMAN	HXD13_MOUSE
HXD4_f1	HXD4_HUMAN	HXD4_MOUSE
HXD9_f1	HXD9_HUMAN	HXD9_MOUSE
IKZF1_f1	IKZF1_HUMAN	IKZF1_MOUSE
INSM1_f1	INSM1_HUMAN	INSM1_MOUSE
IRF1_si	IRF1_HUMAN	IRF1_MOUSE
IRF2_f1	IRF2_HUMAN	IRF2_MOUSE
IRF3_f1	IRF3_HUMAN	IRF3_MOUSE
IRF4_si	IRF4_HUMAN	IRF4_MOUSE
IRF5_f1	IRF5_HUMAN	IRF5_MOUSE
IRF7_f1	IRF7_HUMAN	IRF7_MOUSE
IRF8_si	IRF8_HUMAN	IRF8_MOUSE
IRF9_f1	IRF9_HUMAN	IRF9_MOUSE
ISL1_f1	ISL1_HUMAN	ISL1_MOUSE
ITF2_f1	ITF2_HUMAN	ITF2_MOUSE
JUNB_f1	JUNB_HUMAN	JUNB_MOUSE
JUND_f1	JUND_HUMAN	JUND_MOUSE
JUN_f1	JUN_HUMAN	JUN_MOUSE
KAISO_f1	KAISO_HUMAN	KAISO_MOUSE
KLF15_f1	KLF15_HUMAN	KLF15_MOUSE
KLF1_f1	KLF1_HUMAN	KLF1_MOUSE
KLF3_f1	KLF3_HUMAN	KLF3_MOUSE
KLF4_f2	KLF4_HUMAN	KLF4_MOUSE
KLF6_si	KLF6_HUMAN	KLF6_MOUSE
KLF8_f1	KLF8_HUMAN	KLF8_MOUSE
LEF1_f1	LEF1_HUMAN	LEF1_MOUSE
LHX2_f1	LHX2_HUMAN	LHX2_MOUSE
LHX3_f1	LHX3_HUMAN	LHX3_MOUSE
MAFA_f1	MAFA_HUMAN	MAFA_MOUSE
MAFB_f1	MAFB_HUMAN	MAFB_MOUSE
MAFG_si	MAFG_HUMAN	MAFG_MOUSE
MAFK_si	MAFK_HUMAN	MAFK_MOUSE
MAF_f1	MAF_HUMAN	MAF_MOUSE
MAX_f1	MAX_HUMAN	MAX_MOUSE
MAZ_f1	MAZ_HUMAN	MAZ_MOUSE
MBD2_si	MBD2_HUMAN	MBD2_MOUSE
MCR_f1	MCR_HUMAN	MCR_MOUSE
MECP2_f1	MECP2_HUMAN	MECP2_MOUSE
MEF2A_f1	MEF2A_HUMAN	MEF2A_MOUSE
MEF2C_f1	MEF2C_HUMAN	MEF2C_MOUSE
MEF2D_f1	MEF2D_HUMAN	MEF2D_MOUSE
MEIS1_f2	MEIS1_HUMAN	MEIS1_MOUSE
MEIS2_do	MEIS2_HUMAN	MEIS2_MOUSE
MITF_f1	MITF_HUMAN	MITF_MOUSE
MLXPL_f1	MLXPL_HUMAN	MLXPL_MOUSE
MSX2_f1	MSX2_HUMAN	MSX2_MOUSE
MTF1_f1	MTF1_HUMAN	MTF1_MOUSE
MYBB_f1	MYBB_HUMAN	MYBB_MOUSE
MYB_f1	MYB_HUMAN	MYB_MOUSE
MYCN_si	MYCN_HUMAN	MYCN_MOUSE
MYC_f1	MYC_HUMAN	MYC_MOUSE
MYF6_f1	MYF6_HUMAN	MYF6_MOUSE
MYOD1_f1	MYOD1_HUMAN	MYOD1_MOUSE
MYOG_f1	MYOG_HUMAN	MYOG_MOUSE
MZF1_f1	MZF1_HUMAN	
NANOG_f1	NANOG_HUMAN	NANOG_MOUSE
NDF1_f1	NDF1_HUMAN	NDF1_MOUSE
NF2L1_f1	NF2L1_HUMAN	NF2L1_MOUSE
NF2L2_si	NF2L2_HUMAN	NF2L2_MOUSE
NFAC1_do	NFAC1_HUMAN	NFAC1_MOUSE
NFAC1_si	NFAC1_HUMAN	NFAC1_MOUSE
NFAC2_f1	NFAC2_HUMAN	NFAC2_MOUSE
NFAC3_f1	NFAC3_HUMAN	NFAC3_MOUSE
NFAC4_f1	NFAC4_HUMAN	NFAC4_MOUSE
NFAT5_f1	NFAT5_HUMAN	NFAT5_MOUSE
NFE2_f2	NFE2_HUMAN	NFE2_MOUSE
NFIA+NFIB+NFIC+NFIX_f2	NFIA_HUMAN,NFIB_HUMAN,NFIC_HUMAN,NFIX_HUMAN	NFIA_MOUSE,NFIB_MOUSE,NFIC_MOUSE,NFIX_MOUSE
NFIA+NFIB+NFIC+NFIX_si	NFIA_HUMAN,NFIB_HUMAN,NFIC_HUMAN,NFIX_HUMAN	NFIA_MOUSE,NFIB_MOUSE,NFIC_MOUSE,NFIX_MOUSE
NFIL3_si	NFIL3_HUMAN	NFIL3_MOUSE
NFKB1_f1	NFKB1_HUMAN	NFKB1_MOUSE
NFKB2_f1	NFKB2_HUMAN	NFKB2_MOUSE
NFYA_f1	NFYA_HUMAN	NFYA_MOUSE
NFYB_f1	NFYB_HUMAN	NFYB_MOUSE
NFYC_f1	NFYC_HUMAN	NFYC_MOUSE
NKX21_f1	NKX21_HUMAN	NKX21_MOUSE
NKX22_si	NKX22_HUMAN	NKX22_MOUSE
NKX25_f1	NKX25_HUMAN	NKX25_MOUSE
NKX28_f1	NKX28_HUMAN	NKX28_MOUSE
NKX31_si	NKX31_HUMAN	NKX31_MOUSE
NKX32_f1	NKX32_HUMAN	NKX32_MOUSE
NOBOX_si	NOBOX_HUMAN	NOBOX_MOUSE
NR0B1_si	NR0B1_HUMAN	NR0B1_MOUSE
NR1D1_f1	NR1D1_HUMAN	NR1D1_MOUSE
NR1H2_f1	NR1H2_HUMAN	NR1H2_MOUSE
NR1H4_f1	NR1H4_HUMAN	NR1H4_MOUSE
NR1I2_f2	NR1I2_HUMAN	NR1I2_MOUSE
NR1I2_si	NR1I2_HUMAN	NR1I2_MOUSE
NR1I3_f2	NR1I3_HUMAN	NR1I3_MOUSE
NR1I3_si	NR1I3_HUMAN	NR1I3_MOUSE
NR2C1_si	NR2C1_HUMAN	NR2C1_MOUSE
NR2C2_f1	NR2C2_HUMAN	NR2C2_MOUSE
NR2E3_f1	NR2E3_HUMAN	NR2E3_MOUSE
NR2F6_f1	NR2F6_HUMAN	NR2F6_MOUSE
NR4A1_f1	NR4A1_HUMAN	NR4A1_MOUSE
NR4A2_si	NR4A2_HUMAN	NR4A2_MOUSE
NR4A3_f1	NR4A3_HUMAN	NR4A3_MOUSE
NR5A2_f1	NR5A2_HUMAN	NR5A2_MOUSE
NR6A1_do	NR6A1_HUMAN	NR6A1_MOUSE
NRF1_f1	NRF1_HUMAN	NRF1_MOUSE
ONEC2_si	ONEC2_HUMAN	ONEC2_MOUSE
OTX1_f1	OTX1_HUMAN	OTX1_MOUSE
OTX2_si	OTX2_HUMAN	OTX2_MOUSE
OVOL1_f1	OVOL1_HUMAN	OVOL1_MOUSE
P53_f2	P53_HUMAN	P53_MOUSE
P63_si	P63_HUMAN	P63_MOUSE
P73_si	P73_HUMAN	P73_MOUSE
PAX2_f1	PAX2_HUMAN	PAX2_MOUSE
PAX2_si	PAX2_HUMAN	PAX2_MOUSE
PAX5_f1	PAX5_HUMAN	PAX5_MOUSE
PAX5_si	PAX5_HUMAN	PAX5_MOUSE
PAX6_f1	PAX6_HUMAN	PAX6_MOUSE
PAX8_f1	PAX8_HUMAN	PAX8_MOUSE
PBX1_do	PBX1_HUMAN	PBX1_MOUSE
PBX2_f1	PBX2_HUMAN	PBX2_MOUSE
PBX3_f2	PBX3_HUMAN	PBX3_MOUSE
PDX1_do	PDX1_HUMAN	PDX1_MOUSE
PEBB_f1	PEBB_HUMAN	PEBB_MOUSE
PIT1_f1	PIT1_HUMAN	PIT1_MOUSE
PITX2_si	PITX2_HUMAN	PITX2_MOUSE
PKNX1_si	PKNX1_HUMAN	PKNX1_MOUSE
PLAG1_f1	PLAG1_HUMAN	PLAG1_MOUSE
PLAG1_si	PLAG1_HUMAN	PLAG1_MOUSE
PLAL1_si	PLAL1_HUMAN	
PO2F1_f1	PO2F1_HUMAN	PO2F1_MOUSE
PO2F2_si	PO2F2_HUMAN	PO2F2_MOUSE
PO3F1_f1	PO3F1_HUMAN	PO3F1_MOUSE
PO3F2_si	PO3F2_HUMAN	PO3F2_MOUSE
PO4F2_si	PO4F2_HUMAN	PO4F2_MOUSE
PO5F1_do	PO5F1_HUMAN	PO5F1_MOUSE
PO6F1_f1	PO6F1_HUMAN	PO6F1_MOUSE
PPARA_f1	PPARA_HUMAN	PPARA_MOUSE
PPARA_f2	PPARA_HUMAN	PPARA_MOUSE
PPARD_f1	PPARD_HUMAN	PPARD_MOUSE
PPARG_f1	PPARG_HUMAN	PPARG_MOUSE
PPARG_si	PPARG_HUMAN	PPARG_MOUSE
PRDM1_f1	PRDM1_HUMAN	PRDM1_MOUSE
PRGR_do	PRGR_HUMAN	PRGR_MOUSE
PRGR_f1	PRGR_HUMAN	PRGR_MOUSE
PROP1_f1	PROP1_HUMAN	PROP1_MOUSE
PRRX1_f1	PRRX1_HUMAN	PRRX1_MOUSE
PRRX2_f1	PRRX2_HUMAN	PRRX2_MOUSE
PTF1A_f1	PTF1A_HUMAN	PTF1A_MOUSE
PURA_f1	PURA_HUMAN	PURA_MOUSE
RARA_f1	RARA_HUMAN	RARA_MOUSE
RARA_f2	RARA_HUMAN	RARA_MOUSE
RARB_f1	RARB_HUMAN	RARB_MOUSE
RARG_do	RARG_HUMAN	RARG_MOUSE
RARG_f1	RARG_HUMAN	RARG_MOUSE
RELB_si	RELB_HUMAN	RELB_MOUSE
REL_do	REL_HUMAN	REL_MOUSE
REST_f1	REST_HUMAN	REST_MOUSE
RFX1_f1	RFX1_HUMAN	RFX1_MOUSE
RFX2_f1	RFX2_HUMAN	RFX2_MOUSE
RFX3_f1	RFX3_HUMAN	RFX3_MOUSE
RORA_f1	RORA_HUMAN	RORA_MOUSE
RORG_f1	RORG_HUMAN	RORG_MOUSE
RREB1_si	RREB1_HUMAN	RREB1_MOUSE
RUNX1_f1	RUNX1_HUMAN	RUNX1_MOUSE
RUNX2_f1	RUNX2_HUMAN	RUNX2_MOUSE
RUNX3_si	RUNX3_HUMAN	RUNX3_MOUSE
RXRA_f1	RXRA_HUMAN	RXRA_MOUSE
RXRB_f1	RXRB_HUMAN	RXRB_MOUSE
RXRG_f1	RXRG_HUMAN	RXRG_MOUSE
SMAD1_si	SMAD1_HUMAN	SMAD1_MOUSE
SMAD2_si	SMAD2_HUMAN	SMAD2_MOUSE
SMAD3_f1	SMAD3_HUMAN	SMAD3_MOUSE
SMAD4_si	SMAD4_HUMAN	SMAD4_MOUSE
SMRC1_f1	SMRC1_HUMAN	SMRC1_MOUSE
SNAI1_f1	SNAI1_HUMAN	SNAI1_MOUSE
SNAI2_f1	SNAI2_HUMAN	SNAI2_MOUSE
SOX10_si	SOX10_HUMAN	SOX10_MOUSE
SOX13_f1	SOX13_HUMAN	SOX13_MOUSE
SOX15_f1	SOX15_HUMAN	SOX15_MOUSE
SOX17_f2	SOX17_HUMAN	SOX17_MOUSE
SOX18_f1	SOX18_HUMAN	SOX18_MOUSE
SOX2_f1	SOX2_HUMAN	SOX2_MOUSE
SOX4_f1	SOX4_HUMAN	SOX4_MOUSE
SOX5_f1	SOX5_HUMAN	SOX5_MOUSE
SOX9_f1	SOX9_HUMAN	SOX9_MOUSE
SP1_f1	SP1_HUMAN	SP1_MOUSE
SP1_f2	SP1_HUMAN	SP1_MOUSE
SP2_si	SP2_HUMAN	SP2_MOUSE
SP3_f1	SP3_HUMAN	SP3_MOUSE
SP4_f1	SP4_HUMAN	SP4_MOUSE
SPI1_si	SPI1_HUMAN	SPI1_MOUSE
SPIB_f1	SPIB_HUMAN	SPIB_MOUSE
SPZ1_f1	SPZ1_HUMAN	SPZ1_MOUSE
SRBP1_f2	SRBP1_HUMAN	SRBP1_MOUSE
SRBP2_f1	SRBP2_HUMAN	SRBP2_MOUSE
SRF_do	SRF_HUMAN	SRF_MOUSE
SRY_f1	SRY_HUMAN	SRY_MOUSE
STA5A_do	STA5A_HUMAN	STA5A_MOUSE
STA5B_f1	STA5B_HUMAN	STA5B_MOUSE
STAT1_f2	STAT1_HUMAN	STAT1_MOUSE
STAT2_f1	STAT2_HUMAN	STAT2_MOUSE
STAT3_si	STAT3_HUMAN	STAT3_MOUSE
STAT4_si	STAT4_HUMAN	STAT4_MOUSE
STAT6_do	STAT6_HUMAN	STAT6_MOUSE
STF1_f1	STF1_HUMAN	STF1_MOUSE
SUH_f1	SUH_HUMAN	SUH_MOUSE
TAL1_f1	TAL1_HUMAN	TAL1_MOUSE
TAL1_f2	TAL1_HUMAN	TAL1_MOUSE
TBP_f1	TBP_HUMAN	TBP_MOUSE
TBX2_f1	TBX2_HUMAN	TBX2_MOUSE
TBX3_f1	TBX3_HUMAN	TBX3_MOUSE
TBX5_si	TBX5_HUMAN	TBX5_MOUSE
TCF7_f1	TCF7_HUMAN	TCF7_MOUSE
TEAD1_f1	TEAD1_HUMAN	TEAD1_MOUSE
TEAD3_si	TEAD3_HUMAN	TEAD3_MOUSE
TEAD4_f1	TEAD4_HUMAN	TEAD4_MOUSE
TEF_f1	TEF_HUMAN	TEF_MOUSE
TF65_f2	TF65_HUMAN	TF65_MOUSE
TF7L2_f1	TF7L2_HUMAN	TF7L2_MOUSE
TFAP4_si	TFAP4_HUMAN	
TFCP2_f1	TFCP2_HUMAN	TFCP2_MOUSE
TFDP1_f1	TFDP1_HUMAN	TFDP1_MOUSE
TFE2_f2	TFE2_HUMAN	TFE2_MOUSE
TFE3_f1	TFE3_HUMAN	TFE3_MOUSE
TFEB_f1	TFEB_HUMAN	TFEB_MOUSE
TGIF1_f1	TGIF1_HUMAN	TGIF1_MOUSE
TGIF1_si	TGIF1_HUMAN	TGIF1_MOUSE
THA_f1	THA_HUMAN	THA_MOUSE
THA_f2	THA_HUMAN	THA_MOUSE
THB_do	THB_HUMAN	THB_MOUSE
THB_f1	THB_HUMAN	THB_MOUSE
TLX1_f1	TLX1_HUMAN	TLX1_MOUSE
TLX1_f2	TLX1_HUMAN	TLX1_MOUSE
TWST1_f1	TWST1_HUMAN	TWST1_MOUSE
TYY1_f2	TYY1_HUMAN	TYY1_MOUSE
UBIP1_f1	UBIP1_HUMAN	UBIP1_MOUSE
USF1_f1	USF1_HUMAN	USF1_MOUSE
USF2_f1	USF2_HUMAN	USF2_MOUSE
VDR_f1	VDR_HUMAN	VDR_MOUSE
VDR_f2	VDR_HUMAN	VDR_MOUSE
VSX2_si	VSX2_HUMAN	VSX2_MOUSE
WT1_f1	WT1_HUMAN	WT1_MOUSE
XBP1_f1	XBP1_HUMAN	XBP1_MOUSE
YBOX1_f2	YBOX1_HUMAN	YBOX1_MOUSE
ZBT7A_f1	ZBT7A_HUMAN	ZBT7A_MOUSE
ZBT7B_si	ZBT7B_HUMAN	ZBT7B_MOUSE
ZBTB4!METH_f1	ZBTB4_HUMAN	
ZBTB4_si	ZBTB4_HUMAN	
ZBTB6_si	ZBTB6_HUMAN	ZBTB6_MOUSE
ZEB1_do	ZEB1_HUMAN	ZEB1_MOUSE
ZEP1_f1	ZEP1_HUMAN	ZEP1_MOUSE
ZEP2_si	ZEP2_HUMAN	ZEP2_MOUSE
ZFHX3_f1	ZFHX3_HUMAN	ZFHX3_MOUSE
ZFX_f1	ZFX_HUMAN	ZFX_MOUSE
ZIC1_f1	ZIC1_HUMAN	ZIC1_MOUSE
ZIC2_f1	ZIC2_HUMAN	ZIC2_MOUSE
ZIC3_f1	ZIC3_HUMAN	ZIC3_MOUSE
ZN143_si	ZN143_HUMAN	ZN143_MOUSE
ZN148_si	ZN148_HUMAN	ZN148_MOUSE
ZN219_f1	ZN219_HUMAN	
ZN238_f1	ZN238_HUMAN	ZN238_MOUSE
ZN333_f1	ZN333_HUMAN	
ZN350_f1	ZN350_HUMAN	
ZN384_f1	ZN384_HUMAN	
ZN423_f1	ZN423_HUMAN	ZN423_MOUSE
ZN589_f1	ZN589_HUMAN	
